date,type,datetime,cloudCover,item_id,notes
2025-05-01,catalog_acquisition,2025-05-01T16:01:29.774Z,61.24,S2C_MSIL2A_20250501T155551_N0511_R011_T17NNJ_20250501T204317.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-05-06,catalog_acquisition,2025-05-06T16:01:09.991Z,68.67,S2B_MSIL2A_20250506T155529_N0511_R011_T17NNJ_20250506T192610.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-05-11,catalog_acquisition,2025-05-11T16:01:26.339Z,100.0,S2C_MSIL2A_20250511T155541_N0511_R011_T17NNJ_20250511T203914.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-05-13,catalog_acquisition,2025-05-13T16:01:22.144Z,100.0,S2A_MSIL2A_20250513T155541_N0511_R011_T17NNJ_20250513T221017.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-05-16,catalog_acquisition,2025-05-16T16:01:08.455Z,86.52,S2B_MSIL2A_20250516T155529_N0511_R011_T17NNJ_20250516T203753.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-05-20,catalog_acquisition,2025-05-20T15:51:29.111Z,99.96,S2A_MSIL2A_20250520T155121_N0511_R111_T17NNJ_20250520T213012.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-05-21,catalog_acquisition,2025-05-21T16:01:26.506Z,99.99,S2C_MSIL2A_20250521T155541_N0511_R011_T17NNJ_20250521T190113.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-05-26,catalog_acquisition,2025-05-26T16:01:09.433Z,99.5,S2B_MSIL2A_20250526T155529_N0511_R011_T17NNJ_20250526T224719.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-05-30,catalog_acquisition,2025-05-30T15:51:29.963Z,100.0,S2A_MSIL2A_20250530T154611_N0511_R111_T17NNJ_20250530T202512.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-05-31,catalog_acquisition,2025-05-31T16:01:28.577Z,100.0,S2C_MSIL2A_20250531T155541_N0511_R011_T17NNJ_20250531T215012.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-06-02,catalog_acquisition,2025-06-02T16:01:25.092Z,36.76,S2A_MSIL2A_20250602T155541_N0511_R011_T17NNJ_20250603T061918.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-06-05,catalog_acquisition,2025-06-05T16:01:08.141Z,99.99,S2B_MSIL2A_20250605T155529_N0511_R011_T17NNJ_20250605T193500.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-06-10,catalog_acquisition,2025-06-10T16:01:28.238Z,86.06,S2C_MSIL2A_20250610T155541_N0511_R011_T17NNJ_20250610T184115.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-06-15,catalog_acquisition,2025-06-15T16:01:07.2Z,66.47,S2B_MSIL2A_20250615T155519_N0511_R011_T17NNJ_20250615T192618.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-06-20,catalog_acquisition,2025-06-20T16:01:26.627Z,100.0,S2C_MSIL2A_20250620T155951_N0511_R011_T17NNJ_20250620T200814.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-06-22,catalog_acquisition,2025-06-22T16:01:22.528Z,98.92,S2A_MSIL2A_20250622T155541_N0511_R011_T17NNJ_20250622T220718.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-06-25,catalog_acquisition,2025-06-25T16:01:09.985Z,86.01,S2B_MSIL2A_20250625T155529_N0511_R011_T17NNJ_20250625T203715.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-06-30,catalog_acquisition,2025-06-30T16:01:29.704Z,51.81,S2C_MSIL2A_20250630T155551_N0511_R011_T17NNJ_20250630T203715.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-07-05,catalog_acquisition,2025-07-05T16:01:11.554Z,84.78,S2B_MSIL2A_20250705T155529_N0511_R011_T17NNJ_20250705T193016.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-07-07,catalog_acquisition,2025-07-07T15:51:35.654Z,49.32,S2C_MSIL2A_20250707T154611_N0511_R111_T17NNJ_20250707T200017.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-07-09,catalog_acquisition,2025-07-09T15:51:31.724Z,36.06,S2A_MSIL2A_20250709T154611_N0511_R111_T17NNJ_20250709T230612.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-07-10,catalog_acquisition,2025-07-10T16:01:31.225Z,99.98,S2C_MSIL2A_20250710T155551_N0511_R011_T17NNJ_20250710T202914.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-07-12,catalog_acquisition,2025-07-12T16:01:27.338Z,100.0,S2A_MSIL2A_20250712T155541_N0511_R011_T17NNJ_20250713T005812.SAFE,Selected lowest-cloud catalog item for this acquisition date.
2025-07-15,catalog_acquisition,2025-07-15T16:01:11.533Z,67.66,S2B_MSIL2A_20250715T155529_N0511_R011_T17NNJ_20250715T193502.SAFE,Selected lowest-cloud catalog item for this acquisition date.
